time_sec,source_frame_30fps,rally_id,shot_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_mps,speed_kmh,trajectory_phase,last_hitter,tracking_status,confidence
7.700,231,1,9,1.727,2.909,6.744,-2.151,-6.162,-2.348,6.936,25.0,upper_half,player_a,detected,0.89
7.733,232,1,9,1.661,2.720,6.631,-1.973,-5.651,-3.384,6.876,24.8,upper_half,player_a,detected,0.89
7.767,233,1,9,1.601,2.547,6.484,-1.809,-5.183,-4.419,7.047,25.4,upper_half,player_a,detected,0.89
7.800,234,1,9,1.545,2.389,6.302,-1.659,-4.753,-5.455,7.423,26.7,upper_half,player_a,detected,0.89
7.833,235,1,9,1.495,2.244,6.085,-1.522,-4.359,-6.490,7.965,28.7,upper_half,player_a,detected,0.89
7.867,236,1,9,1.448,2.110,5.835,-1.395,-3.998,-7.526,8.635,31.1,upper_half,player_a,detected,0.89
7.900,237,1,9,1.405,1.988,5.549,-1.280,-3.666,-8.561,9.401,33.8,upper_half,player_a,detected,0.89
7.933,238,1,9,1.366,1.876,5.229,-1.174,-3.362,-9.597,10.236,36.9,upper_half,player_a,detected,0.89
7.967,239,1,9,1.330,1.773,4.875,-1.076,-3.084,-10.632,11.123,40.0,upper_half,player_a,detected,0.89
8.000,240,1,9,1.297,1.679,4.486,-0.987,-2.828,-11.668,12.046,43.4,upper_half,player_a,predicted,0.66
8.033,241,1,9,1.267,1.593,4.062,-0.905,-2.594,-12.703,12.997,46.8,approach_receiver,player_a,detected,0.89
8.067,242,1,9,1.240,1.513,3.605,-0.830,-2.379,-13.739,13.968,50.3,approach_receiver,player_a,detected,0.89
8.100,243,1,9,1.214,1.441,3.112,-0.761,-2.181,-14.774,14.954,53.8,approach_receiver,player_a,detected,0.89
8.133,244,1,10,1.386,2.127,2.788,5.152,20.584,-9.722,23.340,84.0,post_contact,player_b,detected,0.89
8.167,245,1,10,1.786,3.690,2.755,12.000,46.909,-0.994,48.430,174.3,post_contact,player_b,detected,0.89
8.200,246,1,10,2.108,4.949,2.717,9.660,37.761,-1.128,38.994,140.4,upper_half,player_b,detected,0.89
8.233,247,1,10,2.367,5.962,2.675,7.776,30.397,-1.263,31.402,113.0,upper_half,player_b,detected,0.89
8.267,248,1,10,2.576,6.778,2.629,6.260,24.469,-1.397,25.296,91.1,lower_half,player_b,detected,0.89
8.300,249,1,10,2.744,7.435,2.578,5.039,19.698,-1.531,20.389,73.4,lower_half,player_b,detected,0.89
8.333,250,1,10,2.879,7.963,2.522,4.056,15.856,-1.666,16.451,59.2,lower_half,player_b,detected,0.89
8.367,251,1,10,2.988,8.389,2.462,3.265,12.764,-1.800,13.297,47.9,lower_half,player_b,detected,0.89
8.400,252,1,10,3.075,8.731,2.398,2.628,10.275,-1.935,10.781,38.8,lower_half,player_b,detected,0.89
8.433,253,1,10,3.146,9.007,2.329,2.116,8.271,-2.069,8.785,31.6,lower_half,player_b,detected,0.89
8.467,254,1,10,3.203,9.229,2.255,1.703,6.658,-2.203,7.217,26.0,lower_half,player_b,detected,0.89
8.500,255,1,10,3.248,9.407,2.177,1.371,5.360,-2.338,6.006,21.6,lower_half,player_b,detected,0.89
8.533,256,1,10,3.285,9.551,2.095,1.104,4.314,-2.472,5.094,18.3,lower_half,player_b,detected,0.89
8.567,257,1,10,3.315,9.667,2.008,0.888,3.473,-2.606,4.432,16.0,lower_half,player_b,detected,0.89
8.600,258,1,10,3.339,9.760,1.917,0.715,2.796,-2.741,3.980,14.3,lower_half,player_b,detected,0.89
8.633,259,1,10,3.358,9.835,1.821,0.576,2.251,-2.875,3.696,13.3,lower_half,player_b,detected,0.89
8.667,260,1,10,3.373,9.896,1.720,0.463,1.812,-3.010,3.543,12.8,lower_half,player_b,detected,0.89
8.700,261,1,10,3.386,9.944,1.616,0.373,1.458,-3.144,3.486,12.5,approach_receiver,player_b,detected,0.89
8.733,262,1,10,3.396,9.983,1.506,0.300,1.174,-3.278,3.495,12.6,approach_receiver,player_b,detected,0.89
8.767,263,1,11,3.463,9.654,1.787,2.015,-9.885,8.420,13.141,47.3,post_contact,player_a,detected,0.89
8.800,264,1,11,3.582,8.998,2.430,3.580,-19.690,19.277,27.787,100.0,post_contact,player_a,detected,0.89
8.833,265,1,11,3.693,8.386,3.030,3.334,-18.337,18.020,25.925,93.3,lower_half,player_a,detected,0.89
8.867,266,1,11,3.797,7.817,3.589,3.105,-17.077,16.764,24.130,86.9,lower_half,player_a,detected,0.89
8.900,267,1,11,3.893,7.287,4.106,2.891,-15.903,15.507,22.399,80.6,lower_half,player_a,detected,0.89
8.933,268,1,11,3.983,6.793,4.581,2.693,-14.810,14.250,20.728,74.6,lower_half,player_a,detected,0.89
8.967,269,1,11,4.067,6.334,5.014,2.508,-13.792,12.993,19.114,68.8,upper_half,player_a,detected,0.89
9.000,270,1,11,4.144,5.905,5.405,2.335,-12.845,11.736,17.555,63.2,upper_half,player_a,detected,0.89
9.033,271,1,11,4.217,5.507,5.755,2.175,-11.962,10.480,16.051,57.8,upper_half,player_a,detected,0.89
9.067,272,1,11,4.284,5.135,6.062,2.025,-11.140,9.223,14.603,52.6,upper_half,player_a,detected,0.89
9.100,273,1,11,4.347,4.790,6.328,1.886,-10.374,7.966,13.215,47.6,upper_half,player_a,detected,0.89
9.133,274,1,11,4.406,4.468,6.551,1.757,-9.661,6.709,11.893,42.8,upper_half,player_a,detected,0.89
9.167,275,1,11,4.460,4.168,6.733,1.636,-8.997,5.452,10.647,38.3,upper_half,player_a,detected,0.89
9.200,276,1,11,4.511,3.888,6.873,1.523,-8.379,4.196,9.494,34.2,upper_half,player_a,detected,0.89
9.233,277,1,11,4.559,3.628,6.971,1.419,-7.803,2.939,8.458,30.4,upper_half,player_a,detected,0.89
9.267,278,1,11,4.603,3.386,7.027,1.321,-7.267,1.682,7.575,27.3,upper_half,player_a,detected,0.89
9.300,279,1,11,4.644,3.160,7.041,1.230,-6.768,0.425,6.892,24.8,upper_half,player_a,detected,0.89
9.333,280,1,11,4.682,2.950,7.013,1.146,-6.302,-0.832,6.460,23.3,upper_half,player_a,detected,0.89
9.367,281,1,11,4.717,2.755,6.944,1.067,-5.869,-2.088,6.321,22.8,upper_half,player_a,detected,0.89
9.400,282,1,11,4.750,2.572,6.832,0.994,-5.466,-3.345,6.485,23.3,upper_half,player_a,detected,0.89
9.433,283,1,11,4.781,2.403,6.679,0.926,-5.090,-4.602,6.924,24.9,upper_half,player_a,detected,0.89
9.467,284,1,11,4.810,2.245,6.483,0.862,-4.741,-5.859,7.586,27.3,upper_half,player_a,detected,0.89
9.500,285,1,11,4.837,2.098,6.246,0.803,-4.415,-7.115,8.412,30.3,upper_half,player_a,detected,0.89
9.533,286,1,11,4.862,1.961,5.967,0.748,-4.111,-8.372,9.357,33.7,upper_half,player_a,detected,0.89
9.567,287,1,11,4.885,1.833,5.646,0.696,-3.829,-9.629,10.386,37.4,upper_half,player_a,detected,0.89
9.600,288,1,11,4.907,1.714,5.283,0.648,-3.566,-10.886,11.473,41.3,upper_half,player_a,detected,0.89
9.633,289,1,11,4.927,1.603,4.879,0.604,-3.321,-12.143,12.603,45.4,upper_half,player_a,detected,0.89
9.667,290,1,11,4.945,1.500,4.432,0.562,-3.092,-13.399,13.763,49.5,upper_half,player_a,detected,0.89
9.700,291,1,11,4.963,1.404,3.943,0.524,-2.880,-14.656,14.946,53.8,approach_receiver,player_a,detected,0.89
9.733,292,1,11,4.979,1.315,3.413,0.488,-2.682,-15.913,16.145,58.1,approach_receiver,player_a,detected,0.89
9.767,293,1,11,4.994,1.232,2.841,0.454,-2.498,-17.170,17.357,62.5,approach_receiver,player_a,detected,0.89
9.800,294,1,12,4.697,2.691,2.520,-8.904,43.775,-9.605,45.693,164.5,upper_half,player_b,detected,0.89
9.833,295,1,12,4.361,4.348,2.366,-10.090,49.715,-4.636,50.940,183.4,upper_half,player_b,detected,0.89
9.867,296,1,12,4.160,5.338,2.184,-6.028,29.700,-5.463,30.794,110.9,upper_half,player_b,detected,0.89
9.900,297,1,12,4.040,5.929,1.974,-3.601,17.743,-6.289,19.166,69.0,upper_half,player_b,detected,0.89
9.933,298,1,12,3.968,6.283,1.737,-2.151,10.600,-7.116,12.947,46.6,upper_half,player_b,detected,0.89
9.967,299,1,12,3.926,6.494,1.472,-1.285,6.333,-7.942,10.239,36.9,upper_half,player_b,detected,0.89
10.000,300,1,12,3.900,6.620,1.180,-0.768,3.783,-8.769,9.581,34.5,net_contact,player_b,detected,0.89
